seed,ifile_name,ifile_number,tpsExtermination,radiusInfestMax,SdM,SdC,SaM,SaC,deltaSa,deltaSd,actionManager,actionController,diffRisqueGlobal,infecteTotal,infecteVariete1,infecteVariete2
-320504099,random_rep,1.0,180.0,4.0,0.1,0.1,0.4,0.2,0.05,0.05,true,true,0.5,2.0E-4,0.0,0.0
-446551880,random_rep,1.0,180.0,4.0,0.1,0.1,0.4,0.2,0.05,0.0,true,true,0.5,1.0E-4,1.0,0.0
97139316,random_rep,1.0,180.0,4.0,0.1,0.1,0.4,0.2,0.0,0.1,true,true,0.5,0.0012,0.3333333333333333,0.16666666666666666
1262795136,random_rep,1.0,180.0,4.0,0.1,0.1,0.4,0.2,0.0,0.05,true,true,0.5,0.0,0.0,0.0
-2118783331,random_rep,4.0,30.0,8.0,0.2,0.1,0.2,0.2,0.0,0.0,true,true,0.5,0.0,0.0,0.0
-318518351,random_rep,4.0,30.0,8.0,0.2,0.1,0.2,0.2,0.0,0.05,true,true,0.5,0.0,0.0,0.0
-414307892,random_rep,4.0,30.0,8.0,0.2,0.1,0.2,0.2,0.0,0.1,true,true,0.5,0.0,0.0,0.0
770059462,random_rep,4.0,30.0,8.0,0.2,0.1,0.2,0.2,0.05,0.0,true,true,0.5,0.0,0.0,0.0
-216932449,random_rep,4.0,30.0,8.0,0.2,0.1,0.2,0.2,0.05,0.05,true,true,0.5,0.0,0.0,0.0
1437235856,random_rep,4.0,30.0,8.0,0.2,0.1,0.2,0.2,0.05,0.1,true,true,0.5,0.0,0.0,0.0
190818279,polygon_gem10_rep,5.0,30.0,4.0,0.2,0.1,0.1,0.2,0.0,0.05,true,true,0.5,0.0133,0.6015037593984962,0.3383458646616541
99546021,random_rep,4.0,30.0,8.0,0.2,0.1,0.2,0.2,0.1,0.0,true,true,0.5,0.0,0.0,0.0
-529775857,random_rep,4.0,30.0,8.0,0.2,0.1,0.2,0.2,0.1,0.05,true,true,0.5,0.0,0.0,0.0
-1838927029,random_rep,4.0,30.0,8.0,0.2,0.1,0.2,0.2,0.1,0.1,true,true,0.5,0.0,0.0,0.0
-2024976012,random_rep,4.0,30.0,8.0,0.2,0.1,0.30000000000000004,0.2,0.0,0.0,true,true,0.5,0.837,0.34097968936678613,0.4640382317801673
285106710,random_rep,4.0,30.0,8.0,0.2,0.1,0.30000000000000004,0.2,0.0,0.05,true,true,0.5,0.8171,0.3055929506792314,0.47166809448047975
-54956578,random_rep,4.0,30.0,8.0,0.2,0.1,0.30000000000000004,0.2,0.0,0.1,true,true,0.5,0.653,0.3116385911179173,0.454364471669219
1543572796,random_rep,4.0,30.0,8.0,0.2,0.1,0.30000000000000004,0.2,0.05,0.0,true,true,0.5,0.0,0.0,0.0
-237717660,random_rep,4.0,30.0,8.0,0.2,0.1,0.30000000000000004,0.2,0.05,0.05,true,true,0.5,0.0,0.0,0.0
1853660633,polygon_gem10_rep,1.0,180.0,4.0,0.1,0.1,0.5,0.2,0.05,0.1,true,true,0.5,5.0E-4,0.0,0.0
695934557,polygon_gem10_rep,1.0,180.0,4.0,0.1,0.1,0.5,0.2,0.05,0.05,true,true,0.5,0.0012,0.25,0.25
-1592573793,polygon_gem10_rep,1.0,180.0,4.0,0.1,0.1,0.5,0.2,0.05,0.0,true,true,0.5,0.0018,0.16666666666666666,0.0
-760256322,polygon_gem10_rep,1.0,180.0,4.0,0.1,0.1,0.5,0.2,0.0,0.1,true,true,0.5,0.0081,0.4074074074074074,0.04938271604938271
2043526298,polygon_gem10_rep,1.0,180.0,4.0,0.1,0.1,0.5,0.2,0.0,0.05,true,true,0.5,0.0016,0.5,0.5
-249860936,polygon_gem10_rep,1.0,180.0,4.0,0.1,0.1,0.5,0.2,0.0,0.0,true,true,0.5,0.0034,0.8529411764705882,0.14705882352941177
921732606,polygon_gem10_rep,1.0,180.0,4.0,0.1,0.1,0.4,0.2,0.1,0.1,true,true,0.5,4.0E-4,0.0,0.0
-345266418,polygon_gem10_rep,1.0,180.0,4.0,0.1,0.1,0.4,0.2,0.1,0.05,true,true,0.5,4.0E-4,0.75,0.0
1876018291,polygon_gem10_rep,1.0,180.0,4.0,0.1,0.1,0.4,0.2,0.1,0.0,true,true,0.5,0.0,0.0,0.0
-1846720476,polygon_gem10_rep,1.0,180.0,4.0,0.1,0.1,0.4,0.2,0.05,0.1,true,true,0.5,1.0E-4,0.0,1.0
1545916859,polygon_gem10_rep,1.0,180.0,4.0,0.1,0.1,0.4,0.2,0.05,0.05,true,true,0.5,0.0011,0.2727272727272727,0.0
1197410589,polygon_gem10_rep,1.0,180.0,4.0,0.1,0.1,0.4,0.2,0.05,0.0,true,true,0.5,0.0,0.0,0.0
1622318187,polygon_gem10_rep,1.0,180.0,4.0,0.1,0.1,0.4,0.2,0.0,0.1,true,true,0.5,8.0E-4,0.875,0.125
691657704,polygon_gem10_rep,1.0,180.0,4.0,0.1,0.1,0.4,0.2,0.0,0.05,true,true,0.5,0.0013,1.0,0.0
2052776838,polygon_gem10_rep,1.0,180.0,4.0,0.1,0.1,0.4,0.2,0.0,0.0,true,true,0.5,2.0E-4,0.0,1.0
-2071618240,polygon_gem1000_rep,5.0,180.0,8.0,0.4,0.1,0.30000000000000004,0.2,0.05,0.0,true,true,0.5,0.0223,0.5605381165919282,0.30493273542600896
