"BehaviorSpace results (NetLogo 6.0.2)"
"COMPOTE.nlogo"
"experiment-dynDesease"
"06/13/2018 17:02:07:712 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","i-nb_managers","i-Svar1","i-radiusInfestMax","i-alpha","i-betap","i-Svar2","i-rProd","i-file_number","i-file_name","i-tpsExtermination","i-Svar3","i-Iinit","[step]","pct_infected_tot","pct_var1","pct_var2"
"163","0","0.5","1","1","0.5","0.1","0.25","8","""polygon_gem100_rep""","30","0.9","0.005","450","1.0E-4","0","0"
"164","0","0.5","2","1","0.5","0.1","0.25","8","""polygon_gem100_rep""","30","0.9","0.005","450","0.0734","0.0447","0.0076"
"165","0","0.5","4","1","0.5","0.1","0.25","8","""polygon_gem100_rep""","30","0.9","0.005","450","0.4848","0.2311","0.11"
"138","0","0.5","32","1","0.5","0.1","0.25","3","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.2975","0.3329"
"144","0","0.5","32","1","0.5","0.1","0.25","4","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.3707","0.3146"
"166","0","0.5","8","1","0.5","0.1","0.25","8","""polygon_gem100_rep""","30","0.9","0.005","450","0.9919","0.3744","0.3069"
"169","0","0.5","1","1","0.5","0.1","0.25","9","""polygon_gem100_rep""","30","0.9","0.005","450","1.0E-4","0","0"
"170","0","0.5","2","1","0.5","0.1","0.25","9","""polygon_gem100_rep""","30","0.9","0.005","450","0.0602","0.021","0.007"
"161","0","0.5","16","1","0.5","0.1","0.25","7","""polygon_gem100_rep""","30","0.9","0.005","450","0.9999","0.3132","0.3525"
"171","0","0.5","4","1","0.5","0.1","0.25","9","""polygon_gem100_rep""","30","0.9","0.005","450","0.1849","0.0577","0.0415"
"172","0","0.5","8","1","0.5","0.1","0.25","9","""polygon_gem100_rep""","30","0.9","0.005","450","0.9951","0.3741","0.2799"
"126","0","0.5","32","1","0.5","0.1","0.25","1","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.3457","0.3251"
"175","0","0.5","1","1","0.5","0.1","0.25","10","""polygon_gem100_rep""","30","0.9","0.005","450","1.0E-4","0","1.0E-4"
"176","0","0.5","2","1","0.5","0.1","0.25","10","""polygon_gem100_rep""","30","0.9","0.005","450","0.0722","0.0369","0.0064"
"177","0","0.5","4","1","0.5","0.1","0.25","10","""polygon_gem100_rep""","30","0.9","0.005","450","0.1649","0.0403","0.0434"
"167","0","0.5","16","1","0.5","0.1","0.25","8","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.3744","0.315"
"173","0","0.5","16","1","0.5","0.1","0.25","9","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.3741","0.2848"
"178","0","0.5","8","1","0.5","0.1","0.25","10","""polygon_gem100_rep""","30","0.9","0.005","450","0.9557","0.3127","0.3033"
"181","0","0.5","1","1","0.5","0.1","0.25","1","""polygon_gem1000_rep""","30","0.9","0.005","450","1.0E-4","1.0E-4","0"
"182","0","0.5","2","1","0.5","0.1","0.25","1","""polygon_gem1000_rep""","30","0.9","0.005","450","0.0836","0.0369","0.0163"
"183","0","0.5","4","1","0.5","0.1","0.25","1","""polygon_gem1000_rep""","30","0.9","0.005","450","0.2817","0.0893","0.0896"
"156","0","0.5","32","1","0.5","0.1","0.25","6","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.3195","0.3459"
"184","0","0.5","8","1","0.5","0.1","0.25","1","""polygon_gem1000_rep""","30","0.9","0.005","450","0.9999","0.3402","0.332"
"179","0","0.5","16","1","0.5","0.1","0.25","10","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.3147","0.3447"
"187","0","0.5","1","1","0.5","0.1","0.25","2","""polygon_gem1000_rep""","30","0.9","0.005","450","1.0E-4","0","1.0E-4"
"188","0","0.5","2","1","0.5","0.1","0.25","2","""polygon_gem1000_rep""","30","0.9","0.005","450","0.0287","0.0165","0.0059"
"189","0","0.5","4","1","0.5","0.1","0.25","2","""polygon_gem1000_rep""","30","0.9","0.005","450","0.3321","0.1338","0.0918"
"168","0","0.5","32","1","0.5","0.1","0.25","8","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.3744","0.315"
"185","0","0.5","16","1","0.5","0.1","0.25","1","""polygon_gem1000_rep""","30","0.9","0.005","450","1","0.3402","0.3321"
"190","0","0.5","8","1","0.5","0.1","0.25","2","""polygon_gem1000_rep""","30","0.9","0.005","450","0.9988","0.3377","0.3281"
"193","0","0.5","1","1","0.5","0.1","0.25","3","""polygon_gem1000_rep""","30","0.9","0.005","450","1.0E-4","0","1.0E-4"
"194","0","0.5","2","1","0.5","0.1","0.25","3","""polygon_gem1000_rep""","30","0.9","0.005","450","0.0771","0.0241","0.0179"
"195","0","0.5","4","1","0.5","0.1","0.25","3","""polygon_gem1000_rep""","30","0.9","0.005","450","0.4002","0.1352","0.1112"
"162","0","0.5","32","1","0.5","0.1","0.25","7","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.3132","0.3526"
"150","0","0.5","32","1","0.5","0.1","0.25","5","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.3426","0.305"
"191","0","0.5","16","1","0.5","0.1","0.25","2","""polygon_gem1000_rep""","30","0.9","0.005","450","1","0.3377","0.3292"
"174","0","0.5","32","1","0.5","0.1","0.25","9","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.3741","0.2848"
"196","0","0.5","8","1","0.5","0.1","0.25","3","""polygon_gem1000_rep""","30","0.9","0.005","450","0.9966","0.3345","0.329"
"199","0","0.5","1","1","0.5","0.1","0.25","4","""polygon_gem1000_rep""","30","0.9","0.005","450","1.0E-4","0","1.0E-4"
"200","0","0.5","2","1","0.5","0.1","0.25","4","""polygon_gem1000_rep""","30","0.9","0.005","450","0.0876","0.0346","0.021"
"201","0","0.5","4","1","0.5","0.1","0.25","4","""polygon_gem1000_rep""","30","0.9","0.005","450","0.3783","0.1374","0.0987"
"180","0","0.5","32","1","0.5","0.1","0.25","10","""polygon_gem100_rep""","30","0.9","0.005","450","1","0.3147","0.3447"
"202","0","0.5","8","1","0.5","0.1","0.25","4","""polygon_gem1000_rep""","30","0.9","0.005","450","0.999","0.3302","0.3379"
"205","0","0.5","1","1","0.5","0.1","0.25","5","""polygon_gem1000_rep""","30","0.9","0.005","450","1.0E-4","0","1.0E-4"
"206","0","0.5","2","1","0.5","0.1","0.25","5","""polygon_gem1000_rep""","30","0.9","0.005","450","0.0165","0.0039","0.0045"
"207","0","0.5","4","1","0.5","0.1","0.25","5","""polygon_gem1000_rep""","30","0.9","0.005","450","0.3731","0.1308","0.1131"
